Reference number,Company Payment Type,Delivering City,Shipment Details,Cash on Delivery,Exp Delivery Fees,Shipment Status,Creation Date,Perfume_Count
3031F,Pay After Delivery,Irbid,بلاك افغانو١٠٠/توم فورد امير ليذر١٠٠/ديور هوم انتنسن نسخة ٢٠١١ ,40,1٫75,No,4/1/2024 4:53:53 AM,3
3032F,Pay After Delivery,Amman,جنتل مان جفنشي ١٠٠,17,1٫75,yes,4/1/2024 4:53:53 AM,1
3033F,Pay After Delivery,Amman,انفكتوس٥٠/ سبلاندد٥٠/واي اف سان لوران ٥٠,20,1٫75,yes,4/1/2024 4:53:53 AM,3
3034F,Pay After Delivery,Amman,هوجو بوس١٠٠ عدد ٢,25,1٫75,yes,4/1/2024 4:53:53 AM,2
3035F,Pay After Delivery,Amman,شانيل نمبر فايف١٠٠/فرزاتشي ايروس ١٠٠/فراري ١٠٠/ بلو شانيل ١٠٠/جمتل مان جفنشي ١٠٠,60,1٫5,No,4/1/2024 4:53:53 AM,5
3036F,Pay After Delivery,Madaba,بلاك افغانو ١٠٠/امبر نوماد ١٠٠,27,2٫75,yes,4/1/2024 4:53:53 AM,2
3037F,Pay After Delivery,Irbid,دولتشي ذا ون ١٠٠,17,2٫75,yes,4/1/2024 4:53:53 AM,1
3038F,Pay After Delivery,Amman,واي اف سان لوران ١٠٠/هوس١٠٠/اكوا جيو ١٠٠/هوجو بوس١٠٠,48,1٫75,yes,4/1/2024 4:53:53 AM,4
3039F,Pay After Delivery,Amman,اكوا دي جيو ستاتي ١٠٠,17,1٫5,No,4/1/2024 4:53:53 AM,1
30310F,Pay After Delivery,Irbid,ليبر ١٠٠/ /بلاك اوبيوم ١٠٠,0,2٫75,yes,4/1/2024 4:53:53 AM,2
30311F,Pay After Delivery,Amman,خمرة ٥٠,10,1٫75,yes,4/1/2024 4:53:53 AM,1
30312F,Pay After Delivery,Amman,باي جفنشي ,10,0,No,4/1/2024 4:53:53 AM,1
30313F,Pay After Delivery,Amman,انيشو١٠٠,0,1٫5,No,4/1/2024 4:53:53 AM,1
30315F,Pay After Delivery,Madaba,كريد افنتوس ١٠٠,17,2٫75,yes,4/1/2024 4:53:53 AM,1
30316F,Pay After Delivery,Mafraq,نيشان  اني ١٠٠/ليبر١٠٠,27,1٫75,No,4/1/2024 4:53:53 AM,2
30317F,Pay After Delivery,Amman,دولتشي الاخضر ستاتي١٠٠,17,1٫75,yes,4/1/2024 4:53:53 AM,1
30318F,Pay After Delivery,Amman,اسمياكي١٠٠/ كريد افنتوس١٠٠,0,1٫75,yes,4/1/2024 4:53:53 AM,2
30319F,Pay After Delivery,Amman,توم فور امبر ليذر ١٠٠ عدد٢,27,1٫5,No,4/1/2024 4:53:53 AM,2
30322F,Pay After Delivery,Russeifa,بلو شانيل ١٠٠ عدد٢,27,2٫75,yes,4/1/2024 4:53:53 AM,2
3032t,Pay After Delivery,Amman,١٠٠ ما ميراكل من لانكوم ,0,1٫75,yes,4/1/2024 4:53:53 AM,1
3033t,Pay After Delivery,Amman,١٠٠ مل  ديور سوفاج الكسير ,2,1٫75,yes,4/1/2024 4:53:53 AM,1
3034t,Pay After Delivery,Amman,١٠٠ مل بوس / ١٠٠ مل دولتشي اند غابانا ذا ون / ١٠٠ مل ٢١٢ مان ,40,1٫75,yes,4/1/2024 4:53:53 AM,3
3035t,Pay After Delivery,Amman,١٠٠ مل يو رجالي / ١٠٠ كل ميسزز ديور,0,1٫75,yes,4/1/2024 4:53:53 AM,2
3036t,Pay After Delivery,Amman,١٠٠ مل بلو شانيل / ١٠٠ مل سوفاج ,27,1٫75,yes,4/1/2024 4:53:53 AM,2
3037t,Pay After Delivery,Zarqa,١٠٠ مل لايت بلو / علبتين ١٠٠ مل لاين وين دي بلوم ,27,2٫75,yes,4/1/2024 4:53:53 AM,3
3038t,Pay After Delivery,Amman,كلهم ١٠٠ مل // الين / سكاندل نسائي/ روز فانيلا/سي الحمرا / ليبرا / بلاك ابيوم ,0,1٫75,yes,4/1/2024 4:53:53 AM,6
3039t,Pay After Delivery,Salt,١٠٠ مل لايت بلو ,17,2٫75,yes,4/1/2024 4:53:53 AM,1
30310t,Pay After Delivery,Irbid,١٠٠ مل فيرزاتشي ايروس ,0,2٫75,yes,4/1/2024 4:53:53 AM,1
30311t,Pay After Delivery,Amman,٥٠ مل اكوا دي جيو / ٥٠ مل الورا هومي سبورت / ٥٠ مل الترا ميل,22,1٫75,yes,4/1/2024 4:53:53 AM,1
30312t,Pay After Delivery,Amman,١٠٠ مل ليبرا / ١٠٠ مل ٢١٢ vip,19,1٫75,yes,4/1/2024 4:53:53 AM,2
30313t,Pay After Delivery,Amman,١٠٠ مل اكوا دي جيو / ١٠٠ مل مونت بلانك / ١٠٠ مل بلو دي شانيل,0,1٫75,yes,4/1/2024 4:53:53 AM,3
30314t,Pay After Delivery,Mafraq,١٠٠ مل سوفاج/ ١٠٠ مل اكوا دي جيو ,25,2٫75,yes,4/1/2024 4:53:53 AM,2
30315t,Pay After Delivery,Amman,١٠٠ مل الين /١٠٠ مل سوفاج ,25,1٫75,yes,4/1/2024 4:53:53 AM,2
30316t,Pay After Delivery,Amman,علبتين ١٠٠ مل سوفاج / ٥٠ مل نيشاني ,32,1٫75,yes,4/1/2024 4:53:53 AM,3
30318t,Pay After Delivery,Irbid,١٠٠ مل بوزيشن ديور نسائي,0,2٫75,yes,4/1/2024 4:53:53 AM,1
30319t,Pay After Delivery,Salt,١٠٠ مل بلو دي شانيل/ ١٠٠ مل سان لوران لانويت هوم ,25,2٫75,yes,4/1/2024 4:53:53 AM,2
30320t,Pay After Delivery,Irbid,١٠٠مل ck,17,1٫75,No,4/1/2024 4:53:53 AM,1
30321t,Pay After Delivery,Zarqa,كلهم ١٠٠ مل / بولو بلو /مونت بلانك/كلاب دي نيت,0,2٫75,yes,4/1/2024 4:53:53 AM,3
3031z,Pay After Delivery,Amman,عبوتين سوفاج + اللور هوم سبورت,40,1٫75,yes,4/1/2024 4:53:53 AM,3
3032z,Pay After Delivery,Amman,سبايس بمب اكستريم,17,1٫75,yes,4/1/2024 4:53:53 AM,1
3033z,Pay After Delivery,Irbid,212 sexy men + Si ,17,2٫75,yes,4/1/2024 4:53:53 AM,2
3034z,Pay After Delivery,Ajlun,فهرنهايت + ارماني فيرت مراكيت,25,2٫75,yes,4/1/2024 4:53:53 AM,2
3035z,Pay After Delivery,Salt,دنهل الذهبي + ايروس,25,2٫75,yes,4/1/2024 4:53:53 AM,2
3036z,Pay After Delivery,Irbid,كوكو شانيل + كوكو شانيل مدموزيل,25,2٫75,yes,4/1/2024 4:53:53 AM,2
3037z,Pay After Delivery,Amman,هاج سينت + Ck one + ايفورياM,40,1٫75,yes,4/1/2024 4:53:53 AM,3
3131t,Pay After Delivery,Amman,100 مل سوفاج,0,1٫75,yes,4/2/2024 8:46:31 AM,1
3132t,Pay After Delivery,Irbid,١٠٠ مل سوفاج,2,2٫75,yes,4/2/2024 8:46:31 AM,1
3133t,Pay After Delivery,Tafilah,١٠٠ مل سوفاج / ١٠٠ مل دولتشي ان غابانا اونلي ذا ون ,27,1٫75,No,4/2/2024 8:46:31 AM,2
3134t,Pay After Delivery,Irbid,١٠٠ مل كلب دي نت انتينسيز,17,2٫75,yes,4/2/2024 8:46:31 AM,1
3135t,Pay After Delivery,Zarqa,١٠٠ مل كول وتر /١٠٠ مل ديور هوم انتينسيز ,27,2٫75,yes,4/2/2024 8:46:31 AM,2
3136t,Pay After Delivery,Amman,١٠٠ مل الترا ميل,17,1٫75,yes,4/2/2024 8:46:31 AM,1
3137t,Pay After Delivery,Amman,علبتين ديلينا ١٠٠ مل / ١٠٠ مل 212سكسي,0,1٫75,yes,4/2/2024 8:46:31 AM,3
3138t,Pay After Delivery,Ajlun,كلهم ٥٠ مل /جيفينشي رجالي / الترا ميل / ديور هوم انتينسيز,20,2٫75,yes,4/2/2024 8:46:31 AM,3
3139t,Pay After Delivery,Amman,١٠٠ مل سوفاج /١٠٠ مل ديور جوي انتنس ,27,1٫75,yes,4/2/2024 8:46:31 AM,2
31310t,Pay After Delivery,Amman,١٠٠ مل ليبرا /١٠٠ مل ماي واي / ٥٠ مل الين ,27,1٫75,yes,4/2/2024 8:46:31 AM,3
31311t,Pay After Delivery,Zarqa,١٠٠ مل اكوا جيو ارماني / ١٠٠ مل دولتشي اند غابانا ذا ون,27,2٫75,yes,4/2/2024 8:46:31 AM,2
31313t,Pay After Delivery,Amman,١٠٠ مل بلو دو شانيل / ١٠٠ مل ليو ديسي هومي انتينس ,40,1٫75,yes,4/2/2024 8:46:31 AM,2
32314t,Pay After Delivery,Amman,علبتين ١٠٠ مل كريد افينيوس ,27,1٫75,No,4/2/2024 8:46:31 AM,2
31315t,Pay After Delivery,Amman, كلهم ١٠٠ مل //لاكوست بينك /مس ديور /شانيل ريتش /كريد ماونتن /نيشان هشيفات,50,1٫75,yes,4/2/2024 8:46:31 AM,5
31316t,Pay After Delivery,Amman,100 مل يو ,0,1٫75,yes,4/2/2024 8:46:31 AM,1
3131F,Pay After Delivery,Rumtha,فرزاتشي يلو دايموند ١٠٠/فلانتينو دونا بورن ان روما ستاتي ١٠٠,27,2٫75,yes,4/2/2024 8:46:32 AM,2
3132F,Pay After Delivery,Aqaba,مونت بلانك ليدي ١٠٠/ مونت بلانك اكسبلور ١٠٠,27,2٫75,yes,4/2/2024 8:46:32 AM,2
3133F,Pay After Delivery,Amman,لاكوست اخضر ١٠٠,0,1٫75,yes,4/2/2024 8:46:32 AM,1
3134F,Pay After Delivery,Irbid,فلانتينو بورن ان روما رجالي١٠٠/ توم فورد توير اكستريم ١٠٠,27,2٫75,yes,4/2/2024 8:46:32 AM,2
3135F,Pay After Delivery,Amman,يو انتنسلي ١٠٠/ امبر نوماد ١٠٠/بلو شانيل ١٠٠,40,1٫75,yes,4/2/2024 8:46:32 AM,3
3136F,Pay After Delivery,Irbid,نارسيسو كريستال١٠٠/ مس ديور ١٠٠,27,2٫75,yes,4/2/2024 8:46:32 AM,2
3137F,Pay After Delivery,Zarqa,بيربري هيرو رجالي ١٠٠/ سوفاج ١٠٠/ ارماني كود ١٠٠,40,2٫75,yes,4/2/2024 8:46:32 AM,3
3138F,Pay After Delivery,Aqaba,ليبر ١٠٠/ لاسيكرت ١٠٠مل /٢١٢ سكسي ستاتي١٠٠/ شانيل نمبر فايف ٥٠,30,2٫75,yes,4/2/2024 8:46:32 AM,4
3139F,Pay After Delivery,Zarqa,ميستر بيربري انديجو ١٠٠/لاكوست شالينج رجالي ١٠٠/ديور هوم ١٠٠,40,2٫75,No,4/2/2024 8:46:32 AM,3
31310F,Pay After Delivery,Amman,سكلبشر ١٠٠,17,1٫75,yes,4/2/2024 8:46:32 AM,1
31311F,Pay After Delivery,Amman,هوقو بوس ١٠٠/ دنهل بلو ١٠٠/سوفاج ١٠٠,40,1٫75,yes,4/2/2024 8:46:32 AM,3
31312F,Pay After Delivery,Irbid,هج سنت ١٠٠,0,2٫75,yes,4/2/2024 8:46:32 AM,1
31313F,Pay After Delivery,Amman,دولتشي كنغ ١٠٠/اكوا جيو ١٠٠/ عود اصفهان ١٠٠,40,1٫75,yes,4/2/2024 8:46:32 AM,3
31314F,Pay After Delivery,Amman,بلو شانيل ١٠٠,0,1٫75,yes,4/2/2024 8:46:32 AM,1
31315F,Pay After Delivery,Amman,بلاك افغانو ١٠٠,17,1٫75,yes,4/2/2024 8:46:32 AM,1
31316F,Pay After Delivery,Amman,ليبر ١٠٠,17,1٫75,yes,4/2/2024 8:46:32 AM,1
31317F,Pay After Delivery,Zarqa,سايد ايفكت انيشو ١٠٠/توم فورد توباكو فانيلا ١٠٠,25,2٫75,yes,4/2/2024 8:46:32 AM,2
31318F,Pay After Delivery,Amman,دنهل ايكون ١٠٠ مل عدد ٢/ لاكوست وايت ١٠٠/لاكوست سبورت ١٠٠,50,1٫75,yes,4/2/2024 8:46:32 AM,4
31319F,Pay After Delivery,Amman,دولتشي كنغ ١٠٠,17,1٫75,yes,4/2/2024 8:46:32 AM,1
31320F,Pay After Delivery,Amman,سبايس بومب اكستريم ١٠٠ عدد ٢/فهرنهايت ١٠٠,40,1٫75,yes,4/2/2024 8:46:32 AM,3
142t,Pay After Delivery,Amman,١٠٠ مل يو / ١٠٠ مل دولتشي غابانا ذا اونلي ون/١٠٠ مل فيرزاتشي ايروس ,0,1٫75,yes,4/3/2024 3:45:19 AM,3
143t,Pay After Delivery,Tafilah,كلهم ١٠٠ مل / شانيل مودموزيل/ فيرزاتشي ايروس,27,2٫75,yes,4/3/2024 3:45:19 AM,2
144t,Pay After Delivery,Amman,كلهم ١٠٠ مل / كريد افينيوس /يو / مونت بلانك,40,1٫75,yes,4/3/2024 3:45:19 AM,3
145t,Pay After Delivery,Amman,١٠٠ مل سوفاج /١٠٠ مل ميسزز ديور,27,1٫75,yes,4/3/2024 3:45:19 AM,2
146t,Pay After Delivery,Madaba,١٠٠ مل فيرزاتشي ايروس/ ١٠٠ مل اكوا دي جيو /٥٠ مل ,30,2٫75,yes,4/3/2024 3:45:19 AM,3
147t,Pay After Delivery,Amman,50مل bvlari// ٥٠ مل كريد افينيوس ,20,1٫75,yes,4/3/2024 3:45:19 AM,2
148t,Pay After Delivery,Amman,١٠٠ مل سبايسي بومب ,17,1٫75,yes,4/3/2024 3:45:19 AM,1
149t,Pay After Delivery,Amman,٢١٢ سكسي مان //سوفاج / كلهم ١٠٠ مل,27,1٫75,yes,4/3/2024 3:45:19 AM,2
1410t,Pay After Delivery,Amman,١٠٠ مل اكوا دي جيو / ١٠٠ مل انتينسيو ,25,1٫75,yes,4/3/2024 3:45:19 AM,2
1411t,Pay After Delivery,Aqaba,١٠٠ مل ليبرا /١٠٠ مل ديلينا /١٠٠ مل توم فورد امبر لذر ,40,2٫75,yes,4/3/2024 3:45:19 AM,3
1412t,Pay After Delivery,Amman,كله ١٠٠ مل سوفاج /١٠٠ مل ون ميليون لاكي,27,1٫75,yes,4/3/2024 3:45:19 AM,2
1413t,Pay After Delivery,Amman,١٠٠ مل انفيكتوس,17,1٫75,yes,4/3/2024 3:45:19 AM,1
1414t,Pay After Delivery,Amman,١٠٠ مل سكلبتشر ,17,1٫75,yes,4/3/2024 3:45:19 AM,1
1415t,Pay After Delivery,Amman,١٠٠ مل روبيرتو كافالي باراديسو ,17,1٫75,yes,4/3/2024 3:45:19 AM,1
1416t,Pay After Delivery,Amman,١٠٠ مل كلهم / 212vip رجالي // اكوا دي جيو الابيض,27,1٫75,yes,4/3/2024 3:45:19 AM,2
1417t,Pay After Delivery,Amman,كله ١٠٠ مل / لاكوست وايت / اكوا دي جيو / فيرزاتشي ايروس ,40,1٫75,yes,4/3/2024 3:45:19 AM,3
1418t ,Pay After Delivery,Irbid,كله ١٠٠ مل //وسام الاسود / توم فورد بلاك اوركيد,0,2٫75,yes,4/3/2024 3:45:19 AM,2
1419t,Pay After Delivery,Russeifa,١٠٠ مل سوفاج بيور,17,2٫75,yes,4/3/2024 3:45:19 AM,1
1420t,Pay After Delivery,Irbid,3علب ١٠٠ مل بيربري هيرت / ١٠٠ مل بودي بيربري/ ٢ ١٠٠ مل ليبرا ,80,2٫75,yes,4/3/2024 3:45:19 AM,6
1421t,Pay After Delivery,Amman,١٠٠ مل غوتشي اند غابانا ذا اونلي ون/١٠٠ مل امبر ليذر ,27,1٫75,yes,4/3/2024 3:45:19 AM,2
1422t,Pay After Delivery,Amman,١٠٠ مل مونت بلانك ام بليم / ١٠٠ مل اكوا جيو ارماني/١٠٠ مل بلاك اوركيدا ,40,1٫75,yes,4/3/2024 3:45:19 AM,3
1423t,Pay After Delivery,Zarqa,١٠٠ مل الترا ميل /١٠٠ مل اكوا جيو ارماني,27,2٫75,yes,4/3/2024 3:45:19 AM,2
1424t,Pay After Delivery,Russeifa,كله ١٠٠ مل //روز فانيلا / كريد سلفر / لويس فينتوس امبر لذر ,40,2٫75,yes,4/3/2024 3:45:19 AM,3
1425t,Pay After Delivery,Zarqa,١٠٠ مل سوفاج ,17,2٫75,yes,4/3/2024 3:45:19 AM,1
141F,Pay After Delivery,Irbid,فرزاتشي مان ١٠٠/بيربري تتش رجالي ١٠٠,25,2٫75,yes,4/3/2024 3:45:20 AM,2
142F,Pay After Delivery,Amman,كركو مدموزيل ١٠٠/ جادور ١٠٠,25,1٫75,yes,4/3/2024 3:45:20 AM,2
143F,Pay After Delivery,Madaba,ايروس ١٠٠/ سوفاج ١٠٠/ كوكو مدموزيل ١٠٠,40,1٫75,No,4/3/2024 3:45:20 AM,3
144F,Pay After Delivery,Amman,شانيل نمبر فايف ١٠٠/ ديور هوم تنتنس ١٠٠,0,1٫75,yes,4/3/2024 3:45:20 AM,2
145F,Pay After Delivery,Amman,بلاك افغانو ١٠٠,17,1٫75,yes,4/3/2024 3:45:20 AM,1
146F,Pay After Delivery,Mafraq,يو ١٠٠/ مونت بلانك ليجند ١٠٠,25,2٫75,yes,4/3/2024 3:45:20 AM,2
147F,Pay After Delivery,Amman,جفنشي اريستبل ١٠٠/ ايس ٢١٢ ستاتي ١٠٠,25,1٫75,yes,4/3/2024 3:45:20 AM,2
148F,Pay After Delivery,Salt,هوجو بوس الاسود ١٠٠/ ليبر ١٠٠/ بلاك اوبيوم ٥٠,30,2٫75,yes,4/3/2024 3:45:20 AM,3
149F,Pay After Delivery,Irbid,واي اف سان لوران ١٠٠ عدد ٢,0,2٫75,yes,4/3/2024 3:45:20 AM,2
1410F,Pay After Delivery,Irbid,كوكو مدموزيل ٥٠/ ليبر انتنس ٥٠/ سكاندل ٥٠,23,2٫75,yes,4/3/2024 3:45:20 AM,3
1411F,Pay After Delivery,Amman,دنهل بلو ١٠٠,17,1٫5,No,4/3/2024 3:45:20 AM,1
1412F,Pay After Delivery,South Aghwar,باتشولي امبريال ١٠٠/ يو انتنس ١٠٠,25,1٫75,No,4/3/2024 3:45:20 AM,2
1413F,Pay After Delivery,Madaba,سوفاج ١٠٠,17,2٫75,yes,4/3/2024 3:45:20 AM,1
1414F,Pay After Delivery,Amman,ايفوريا كلفن كلاين رجالي ١٠٠ عدد ٢,27,1٫75,yes,4/3/2024 3:45:20 AM,2
1415F,Pay After Delivery,Amman,مونت بلانك ليجند ١٠٠/ يو انتنسلي ١٠٠,27,1٫75,yes,4/3/2024 3:45:20 AM,2
1416F,Pay After Delivery,Amman,بلاك اوبيوم ١٠٠/مانسيرا روز فانيلا ١٠٠,27,1٫75,yes,4/3/2024 3:45:20 AM,2
1417F,Pay After Delivery,Amman,بيربري هيرو رجالي ١٠٠/ انا الابيض ١٠٠/يو ابسليوت ١٠٠,40,1٫5,No,4/3/2024 3:45:20 AM,1
1418F,Pay After Delivery,Amman,هج سنت ١٠٠/ بلاك افغانو ١٠٠,27,1٫5,No,4/3/2024 3:45:20 AM,2
1419F,Pay After Delivery,Irbid,دنهل ايكون ١٠٠/ مونت بلانك ليجند انتنس١٠٠/بيربري هير ١٠٠,40,2٫75,yes,4/3/2024 3:45:20 AM,3
1420F,Pay After Delivery,Amman,سوفاج ١٠٠ مل عدد ٤/كلوب دي نوت ١٠٠ عدد ٢/اكوا جيو بروفومو١٠٠,75,1٫75,yes,4/3/2024 3:45:20 AM,7
a1421F,Pay After Delivery,Irbid,جورجيو ارماني اتتيود ١٠٠,1,2٫75,yes,4/3/2024 3:45:20 AM,1
a1422F,Pay After Delivery,Amman,جوتشي جلتي ايسليوت ستاتي ٥٠,12,1٫75,yes,4/3/2024 3:45:20 AM,1
a1423F,Pay After Delivery,Amman,واي اف سان لوران ١٠٠/ يو ١٠٠/ ون مليون كولجين ٥٠,32,1٫75,yes,4/3/2024 3:45:20 AM,3
a1424F,Pay After Delivery,Zarqa,سوفاج ١٠٠/ بلاك افغانو ١٠٠/ لافي بيل ١٠٠/ بيربري هير ١٠٠/ ليبر انتنس١٠٠,60,2٫75,yes,4/3/2024 3:45:20 AM,5
a1425F,Pay After Delivery,Salt,ليبر ١٠٠/ روبورتو كفالي١٠٠,27,2٫75,yes,4/3/2024 3:45:20 AM,2
1426F,Pay After Delivery,Irbid,جفنشي لانترد السوده ٥٠/ جفنشي لانترد ٥٠/ سكادا ٥٠,22,2٫75,yes,4/3/2024 3:45:20 AM,3
a1427F,Pay After Delivery,Salt,دولتشي دا ون ١٠٠/ فرزاتشي إيروس ١٠٠/ ايلين ١٠٠/ماي بيربري ستاتي١٠٠,45,2٫75,yes,4/3/2024 3:45:20 AM,4
a1428F,Pay After Delivery,Zarqa,سوفاج ١٠٠ عدد ٢/ هديه,27,1٫75,No,4/3/2024 3:45:20 AM,3
241z,Pay After Delivery,Amman,٣ عبوات ماي واي,40,1٫75,yes,4/4/2024 2:41:39 AM,3
242z,Pay After Delivery,Amman,اكوا دي جيو ابسولو + واي ايف سان لوران + جابانا كينج,40,1٫75,yes,4/4/2024 2:41:39 AM,3
243z,Pay After Delivery,Irbid,انا الابيض,0,2٫75,yes,4/4/2024 2:41:39 AM,1
244z,Pay After Delivery,Amman,ديلينا دي مارلي,17,1٫75,yes,4/4/2024 2:41:39 AM,1
245z,Pay After Delivery,Amman,جوب هوم الاحمر + آيروس + سوفاج,25,1٫75,yes,4/4/2024 2:41:39 AM,3
246z,Pay After Delivery,Amman,فوياج + سترونجر وذ يو + الترا ميل,40,1٫75,yes,4/4/2024 2:41:39 AM,3
247z,Pay After Delivery,Irbid,ماي واي,17,2٫75,yes,4/4/2024 2:41:39 AM,1
248z,Pay After Delivery,Amman,سوفاج الكسير + انفكتوس اكوا,25,1٫75,yes,4/4/2024 2:41:39 AM,2
249z,Pay After Delivery,Amman,الترا ميل + بربري هيرو + كوير زرزورا,40,1٫75,yes,4/4/2024 2:41:39 AM,4
2410z,Pay After Delivery,Amman,كلوب دي نوت انتنس + ذا ون + ايدول لانكوم,40,1٫75,yes,4/4/2024 2:41:39 AM,3
2411z,Pay After Delivery,Jarash,كريد افينتوس,17,2٫75,yes,4/4/2024 2:41:39 AM,1
2413z,Pay After Delivery,Amman,مونت بلانك + كريد افينتوس,25,1٫5,No,4/4/2024 2:41:39 AM,2
2414z,Pay After Delivery,Irbid,نيشان هاشيفات + نارسيسو بلو نوار,25,2٫75,yes,4/4/2024 2:41:39 AM,2
2415z,Pay After Delivery,Jarash,كلهم ٥٠مل عود فور جريتنس + فلانتينو اومو + العبوة التالتة ع ذوقك,0,2٫75,yes,4/4/2024 2:41:39 AM,3
2416z,Pay After Delivery,Amman,فرزاتشي بور هوم + لاكوست بور لوي فرنش,25,1٫75,yes,4/4/2024 2:41:39 AM,2
2417z,Pay After Delivery,Amman,امبري نو ماد,17,1٫75,yes,4/4/2024 2:41:39 AM,1
2418z,Pay After Delivery,Irbid,بلو دي شانيل + نوع ع ذوقك,0,2٫75,yes,4/4/2024 2:41:39 AM,2
2419z,Pay After Delivery,Amman,توكسيدو,17,1٫75,yes,4/4/2024 2:41:39 AM,1
241t,Pay After Delivery,Amman,١٠٠ مل توم فورد امبر لذر ,0,1٫75,yes,4/4/2024 2:41:39 AM,1
242t,Pay After Delivery,Irbid,١٠٠ مل دولتشي اند غابانا دىذا كينغ //ديور هومي,25,2٫75,yes,4/4/2024 2:41:39 AM,2
243t,Pay After Delivery,Amman,١٠٠ مل بلو شانيل/١٠٠ مل سوفاج الكسير,27,1٫75,yes,4/4/2024 2:41:39 AM,2
244t,Pay After Delivery,Amman,١٠٠ مل كله // ليبرا / روبيرتو كفالي/ ميسزز ديور / جيفينشي لينتريدت,50,1٫75,yes,4/4/2024 2:41:39 AM,4
245t,Pay After Delivery,Amman,كله ١٠٠ مل // سوفاج / بلو شانيل,25,1٫75,yes,4/4/2024 2:41:39 AM,2
246t,Pay After Delivery,Amman,كريد افينيوس  ١٠٠ مل,2,1٫75,yes,4/4/2024 2:41:39 AM,1
247t,Pay After Delivery,Madaba,١٠٠ مل سوفاج,2,2٫75,yes,4/4/2024 2:41:39 AM,1
248t,Pay After Delivery,Zarqa,كلهم ٥٠ مل //علبتين خمره / فيرزاتشي نورا ,22,1٫75,No,4/4/2024 2:41:39 AM,3
249t,Pay After Delivery,Amman,١٠٠ مل سوفاج,17,1٫75,yes,4/4/2024 2:41:39 AM,1
2410t,Pay After Delivery,Zarqa,١٠٠ مل روبيرتو كفالي,0,2٫75,yes,4/4/2024 2:41:39 AM,1
2411t,Pay After Delivery,Amman,١٠٠ مل جود كيرلك ,17,1٫75,yes,4/4/2024 2:41:39 AM,1
2412t,Pay After Delivery,Amman,١٠٠ مل // ون ميليون / اتيرنتي ,27,1٫75,yes,4/4/2024 2:41:39 AM,2
2413t,Pay After Delivery,Amman,١٠٠ مل علبتين انفيكتوس // ٥٠ مل انفيكتوس,32,1٫75,yes,4/4/2024 2:41:39 AM,3
2414t,Pay After Delivery,Amman,١٠٠ مل يو / ١٠٠ مل ديور هوم انتينسز ,25,1٫75,yes,4/4/2024 2:41:39 AM,2
2415t,Pay After Delivery,Amman,١٠٠ مل لايدي  ميليون نسائي ,0,1٫75,yes,4/4/2024 2:41:39 AM,1
2417t,Pay After Delivery,Zarqa,١٠٠ مل / توباكو فانيلا /مانسيرا روز فانيلا,27,2٫75,yes,4/4/2024 2:41:39 AM,2
2418t,Pay After Delivery,Amman,كله ١٠٠ مل // ٣ علب لانكوم تريزر ان لوڤ/ ٣ علب كريد افينيوس /روبيرتو كفالي/ ٢ سوفاج / جيو ارماني /ون ميليون نسائي/ ايفوريا / سي الزهرية / بلو شانيل ,140,1٫5,No,4/4/2024 2:41:39 AM,14
2419t,Pay After Delivery,Salt,١٠٠ مل دولتشي ان غابانا ذا كينغ ,17,2٫75,yes,4/4/2024 2:41:39 AM,1
2420t,Pay After Delivery,Zarqa,١٠٠ مل /// بلو دي شانيل //ديزل ,27,2٫75,yes,4/4/2024 2:41:39 AM,2
2421t,Pay After Delivery,Jarash,١٠٠ مل لايت بلو انتينسز دولتشي اند غابانا //١٠٠ مل الترا ميل امبير اروماتيك,27,2٫75,yes,4/4/2024 2:41:39 AM,2
2422t,Pay After Delivery,Amman,١٠٠ ما فلانتينو  نسائي / ١٠٠ مل فيرزاتشي ايروس / ١٠٠ مل سان لوران,40,1٫5,No,4/4/2024 2:41:39 AM,3
241F,Pay After Delivery,North Aghwar,سترونج وذ يو ١٠٠,0,2٫75,yes,4/4/2024 2:41:39 AM,1
242F,Pay After Delivery,Amman,سوفاج ١٠٠/ انفكتوس ١٠٠/ يو انتسلي ٥٠,32,1٫75,yes,4/4/2024 2:41:39 AM,3
243F,Pay After Delivery,Madaba,بيربري سمر ٥٠,10,2٫75,yes,4/4/2024 2:41:39 AM,1
244F,Pay After Delivery,Maan,سوفاج ١٠٠ /يو ١٠٠,27,2٫75,yes,4/4/2024 2:41:39 AM,2
246F,Pay After Delivery,Amman,سوفاج ١٠٠/ ديور هوم انتنس ١٠٠,25,1٫75,yes,4/4/2024 2:41:39 AM,2
247F,Pay After Delivery,Amman,يو انتنسلي ١٠٠,17,1٫75,yes,4/4/2024 2:41:39 AM,1
248F,Pay After Delivery,Amman,سي كيه ون ١٠٠/بلو شانيل ١٠٠/كول واتر ١٠٠/انتيرنتي اير ١٠٠/اينتيرنتي ٥٠/جين بول ٥٠,60,1٫75,yes,4/4/2024 2:41:39 AM,6
249F,Pay After Delivery,North Aghwar,يو انتنسلي ١٠٠ عدد ٢,0,2٫75,yes,4/4/2024 2:41:39 AM,2
2410F,Pay After Delivery,Jarash,بلو شانيل ١٠٠,17,2٫75,yes,4/4/2024 2:41:39 AM,1
A2411F,Pay After Delivery,South Aghwar,ازارو وانتيد باي نايت ١٠٠/يو انتنسلي ١٠٠/اكوا جيو ١٠٠,40,1٫75,No,4/4/2024 2:41:39 AM,1
